[He],DB09155,Helium
O=C(OC[C@H]1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,DB09372,Tannic acid
O=[Zn],DB09321,Zinc oxide
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,DB00814,Meloxicam
C[C@H]1CN(C(=O)CC#N)[C@]12CCN(c1ncnc3[nH]ccc13)C2,DB16133,Delgocitinib
[Zn],DB01593,Zinc
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,DB00688,Mycophenolate mofetil
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,DB00620,Triamcinolone
CC(=O)Nc1nnc(S(N)(=O)=O)s1,DB00819,Acetazolamide
[Mo],DB11137,Molybdenum
NC(N)=O,DB03904,Urea
O=S(=O)([O-])[O-].[Ba+2],DB11150,Barium sulfate
CC(=O)Oc1ccccc1C(=O)O,DB00945,Acetylsalicylic acid
O=O,DB09140,Oxygen
[Ne],DB11589,Neon
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,DB01110,Miconazole
CN(C)CCC=C1c2ccccc2COc2ccccc21,DB01142,Doxepin
COC(=O)c1ccccc1O,DB09543,Methyl salicylate
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,DB00367,Levonorgestrel
[B],DB11203,Boron
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,DB01068,Clonazepam
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,DB00523,Alitretinoin
O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,DB09134,Ioversol
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,DB00741,Hydrocortisone
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,DB14512,Mometasone furoate
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,DB01003,Cromoglicic acid
[Cr],DB11136,Chromium
OCC(O)CO,DB09462,Glycerin
